rank,title,citations,downloads,article_type,top %
303,JDivPS: A Diversified Product Search Dataset,0,91,research-article,77.89
304,OEHR: An Orthopedic Electronic Health Record Dataset,0,90,research-article,78.15
304,MKV: Mapping Key Semantics into Vectors for Rumor Detection,0,90,short-paper,78.15
304,High Recall Retrieval Via Technology-Assisted Review,0,90,tutorial,78.15
307,Are Embeddings Enough? SIRIP Panel on the Future of Embeddings in Industry IR Systems,0,89,short-paper,78.92
307,TouchUp-G: Improving Feature Representation through Graph-Centric Finetuning,0,89,short-paper,78.92
307,"The Second Workshop on Large Language Models for Individuals, Groups, and Society",0,89,short-paper,78.92
310,Scenario-Adaptive Fine-Grained Personalization Network: Tailoring User Behavior Representation to the Scenario Context,0,88,research-article,79.69
311,A Unified Search and Recommendation Framework Based on Multi-Scenario Learning for Ranking in E-commerce,0,87,short-paper,79.95
311,ACE-2005-PT: Corpus for Event Extraction in Portuguese,0,87,research-article,79.95
311,A Dual-Embedding Based DQN for Worker Recruitment in Spatial Crowdsourcing with Social Network,0,87,research-article,79.95
311,Estimating the Hessian Matrix of Ranking Objectives for Stochastic Learning to Rank with Gradient Boosted Trees,0,87,short-paper,79.95
315,SpherE: Expressive and Interpretable Knowledge Graph Embedding for Set Retrieval,0,86,short-paper,80.98
316,Bi-Objective Negative Sampling for Sensitivity-Aware Search,0,85,short-paper,81.23
317,Recent Advances in Generative Information Retrieval,0,84,tutorial,81.49
317,Bootstrap Deep Metric for Seed Expansion in Attributed Networks,0,84,research-article,81.49
317,"Large Language Models Based Stemming for Information Retrieval: Promises, Pitfalls and Failures",0,84,short-paper,81.49
317,A Surprisingly Simple yet Effective Multi-Query Rewriting Method for Conversational Passage Retrieval,0,84,short-paper,81.49
317,Graph-Based Audience Expansion Model for Marketing Campaigns,0,84,short-paper,81.49
322,A Study on Unsupervised Question and Answer Generation for Legal Information Retrieval and Precedents Understanding,0,83,short-paper,82.78
322,Distance Sampling-based Paraphraser Leveraging ChatGPT for Text Data Manipulation,0,83,short-paper,82.78
322,CaLa: Complementary Association Learning for Augmenting Comoposed Image Retrieval,0,83,research-article,82.78
325,FactCheck Editor: Multilingual Text Editor with End-to-End fact-checking,0,82,short-paper,83.55
326,Contextualization with SPLADE for High Recall Retrieval,0,81,short-paper,83.8
327,Resources for Brewing BEIR: Reproducible Reference Models and Statistical Analyses,1,80,research-article,84.06
327,Short Video Ordering via Position Decoding and Successor Prediction,0,80,research-article,84.06
329,Modeling Scholarly Collaboration and Temporal Dynamics in Citation Networks for Impact Prediction,0,79,short-paper,84.58
329,PromptLink: Leveraging Large Language Models for Cross-Source Biomedical Concept Linking,0,79,short-paper,84.58
331,Enhancing Baidu Multimodal Advertisement with Chinese Text-to-Image Generation via Bilingual Alignment and Caption Synthesis,0,78,short-paper,85.09
331,Interest Clock: Time Perception in Real-Time Streaming Recommendation System,0,78,short-paper,85.09
333,TREC iKAT 2023: A Test Collection for Evaluating Conversational and Interactive Knowledge Assistants,0,77,research-article,85.6
333,ReCODE: Modeling Repeat Consumption with Neural ODE,0,77,short-paper,85.6
333,Grasping Both Query Relevance and Essential Content for Query-focused Summarization,0,77,short-paper,85.6
333,A Preference-oriented Diversity Model Based on Mutual-information in Re-ranking for E-commerce Search,0,77,short-paper,85.6
337,Query Performance Prediction for Conversational Search and Beyond,1,76,abstract,86.63
337,"""Ask Me Anything"": How Comcast Uses LLMs to Assist Agents in Real Time",0,76,short-paper,86.63
339,Prediction of the Realisation of an Information Need: An EEG Study,0,75,short-paper,87.15
339,Analyzing and Mitigating Repetitions in Trip Recommendation,0,75,short-paper,87.15
339,SynDy: Synthetic Dynamic Dataset Generation Framework for Misinformation Tasks,0,75,short-paper,87.15
342,ACORDAR 2.0: A Test Collection for Ad Hoc Dataset Retrieval with Densely Pooled Datasets and Question-Style Queries,0,73,research-article,87.92
342,Systematic Evaluation of Neural Retrieval Models on the Touché 2020 Argument Retrieval Subset of BEIR,1,73,research-article,87.92
344,JPEC: A Novel Graph Neural Network for Competitor Retrieval in Financial Knowledge Graphs,0,72,short-paper,88.43
344,LeCaRDv2: A Large-Scale Chinese Legal Case Retrieval Dataset,0,72,research-article,88.43
344,Personalized Large Language Models through Parameter Efficient Fine-Tuning Techniques,0,72,abstract,88.43
344,Clinical Trial Retrieval via Multi-grained Similarity Learning,0,72,short-paper,88.43
348,ModelGalaxy: A Versatile Model Retrieval Platform,0,71,short-paper,89.46
349,Reflections on the Coding Ability of LLMs for Analyzing Market Research Surveys,0,70,short-paper,89.72
349,An Integrated Data Processing Framework for Pretraining Foundation Models,0,70,short-paper,89.72
349,Weighted KL-Divergence for Document Ranking Model Refinement,0,70,short-paper,89.72
349,Towards Ethical Item Ranking: A Paradigm Shift from User-Centric to Item-Centric Approaches,0,70,short-paper,89.72
349,Detecting and Explaining Emotions in Video Advertisements,0,70,short-paper,89.72
349,Enhancing Criminal Case Matching through Diverse Legal Factors,0,70,short-paper,89.72
349,R-ODE: Ricci Curvature Tells When You Will be Informed,0,70,short-paper,89.72
356,Instruction-Guided Bullet Point Summarization of Long Financial Earnings Call Transcripts,0,68,short-paper,91.52
357,Question Suggestion for Conversational Shopping Assistants Using Product Metadata,2,67,short-paper,91.77
357,Event Grounded Criminal Court View Generation with Cooperative (Large) Language Models,0,67,research-article,91.77
357,Analyzing Fusion Methods Using the Condorcet Rule,0,67,short-paper,91.77
360,International Workshop on Algorithmic Bias in Search and Recommendation (BIAS),0,66,short-paper,92.54
360,FedUD: Exploiting Unaligned Data for Cross-Platform Federated Click-Through Rate Prediction,0,66,short-paper,92.54
362,Deep Automated Mechanism Design for Integrating Ad Auction and Allocation in Feed,0,64,research-article,93.06
363,ArabicaQA: A Comprehensive Dataset for Arabic Question Answering,1,61,research-article,93.32
363,A Large-scale Offer Alignment Model for Partitioning Filtering and Matching Product Offers,0,61,short-paper,93.32
365,A Predictive Framework for Query Reformulation,0,60,abstract,93.83
365,Convex Feature Embedding for Face and Voice Association,0,60,short-paper,93.83
367,ChroniclingAmericaQA: A Large-scale Question Answering Dataset based on Historical American Newspaper Pages,0,59,research-article,94.34
368,Monitoring the Evolution of Behavioural Embeddings in Social Media Recommendation,0,57,short-paper,94.6
369,Dense Retrieval with Continuous Explicit Feedback for Systematic Review Screening Prioritisation,0,55,short-paper,94.86
370,Towards a Framework for Legal Case Retrieval,0,54,abstract,95.12
370,SIGIR 2024 Workshop on Simulations for Information Access (Sim4IA 2024),0,54,short-paper,95.12
372,LADy 💃: A Benchmark Toolkit for Latent Aspect Detection Enriched with Backtranslation Augmentation,0,53,research-article,95.63
372,MANILA24: SIGIR 2024 Workshop on Information Retrieval and Climate Impact,0,53,short-paper,95.63
374,GOLF: Goal-Oriented Long-term liFe tasks supported by human-AI collaboration,0,52,abstract,96.14
374,SIGIR 2024 Workshop on eCommerce (ECOM24),0,52,short-paper,96.14
376,Faster Learned Sparse Retrieval with Block-Max Pruning,0,51,short-paper,96.66
377,ConvLogRecaller: Real-Time Conversational Lifelog Recaller,0,49,short-paper,96.92
377,Third Workshop on Personalization and Recommendations in Search (PaRiS),0,49,short-paper,96.92
379,Shadowfax: Harnessing Textual Knowledge Base Population,0,48,short-paper,97.43
380,Searching for Physical Documents in Archival Repositories,0,46,short-paper,97.69
380,5th Workshop on Patent Text Mining and Semantic Technologies (PatentSemTech2024),0,46,short-paper,97.69
382,Disentangling Instructive Information from Ranked Multiple Candidates for Multi-Document Scientific Summarization,0,45,research-article,98.2
383,CWRCzech: 100M Query-Document Czech Click Dataset and Its Application to Web Relevance Ranking,0,44,research-article,98.46
384,Embark on DenseQuest: A System for Selecting the Best Dense Retriever for a Custom Collection,1,43,short-paper,98.71
384,From Text to Context: An Entailment Approach for News Stakeholder Classification,0,43,short-paper,98.71
386,Axiomatic Guidance for Efficient and Controlled Neural Search,0,41,abstract,99.23
387,On Backbones and Training Regimes for Dense Retrieval in African Languages,0,37,short-paper,99.49
388,Machine Generated Explanations and Their Evaluation,0,30,abstract,99.74
389,Mosaicing Prevention in Declassification,0,26,abstract,100.0
